Detector_ID,Status,Target_Network,Protocol,Peak_Bandwidth,Peak_Bandwidth_bps,Attack_Start,Attack_End,Duration_min,Detection_Source,Event_Count
kentik_63458,Completed,67.149.90.32/32,UDP,0 bps,0,2026-09-01 00:02:17,2026-09-01 00:43:52,41,EXTERNAL_DETECTOR,6
kentik_63459,Completed,75.76.144.88/32,UDP,0 bps,0,2026-09-01 00:19:33,2026-09-01 01:07:40,48,EXTERNAL_DETECTOR,6
kentik_63460,Completed,69.14.73.209/32,UDP,129.63 Mbps,129634648,2026-09-01 00:26:04,2026-09-01 01:20:12,54,EXTERNAL_DETECTOR,7
kentik_63461,Completed,67.149.216.204/32,UDP,182.23 Gbps,182232032776,2026-09-01 01:00:09,2026-09-01 01:42:28,42,EXTERNAL_DETECTOR,8
kentik_63462,Completed,24.96.5.37/32,UDP,0 bps,0,2026-09-01 01:02:25,2026-09-01 01:44:44,42,EXTERNAL_DETECTOR,7
kentik_63463,Completed,23.28.241.94/32,UDP,0 bps,0,2026-09-01 01:17:56,2026-09-01 01:59:59,42,EXTERNAL_DETECTOR,6
kentik_63464,Completed,143.59.24.19/32,UDP,304.42 Mbps,304424120,2026-09-01 02:02:15,2026-09-01 02:43:03,40,EXTERNAL_DETECTOR,6
kentik_63465,Completed,143.59.233.155/32,UDP,0 bps,0,2026-09-01 02:08:31,2026-09-01 02:48:35,40,EXTERNAL_DETECTOR,7
kentik_63466,Completed,67.149.30.207/32,UDP,0 bps,0,2026-09-01 02:14:47,2026-09-01 02:55:49,41,EXTERNAL_DETECTOR,6
kentik_63467,Completed,24.35.16.112/32,UDP,0 bps,0,2026-09-01 02:47:19,2026-09-01 03:27:20,40,EXTERNAL_DETECTOR,6
kentik_63468,Completed,24.192.109.250/32,UDP,0 bps,0,2026-09-01 03:15:04,2026-09-01 04:09:23,54,EXTERNAL_DETECTOR,7
kentik_63469,Completed,50.4.252.176/32,UDP,4.08 Gbps,4080947040,2026-09-01 03:42:36,2026-09-01 04:02:08,19,EXTERNAL_DETECTOR,5
kentik_63470,Completed,50.4.252.176/32,UDP,0 bps,0,2026-09-01 03:46:51,2026-09-01 04:22:55,36,EXTERNAL_DETECTOR,6
kentik_63471,Completed,69.14.141.197/32,UDP,0 bps,0,2026-09-01 04:20:38,2026-09-01 05:00:27,39,EXTERNAL_DETECTOR,6
kentik_63472,Completed,24.214.105.169/32,UDP,0 bps,0,2026-09-01 04:34:09,2026-09-01 05:16:16,42,EXTERNAL_DETECTOR,8
kentik_63473,Completed,24.192.182.5/32,UDP,0 bps,0,2026-09-01 05:10:43,2026-09-01 05:53:19,42,EXTERNAL_DETECTOR,8
kentik_63474,Completed,143.59.216.250/32,UDP,0 bps,0,2026-09-01 05:11:59,2026-09-01 05:53:34,41,EXTERNAL_DETECTOR,6
kentik_63475,Completed,67.149.174.176/32,UDP,0 bps,0,2026-09-01 05:26:30,2026-09-01 06:06:34,40,EXTERNAL_DETECTOR,6
kentik_63476,Completed,24.192.48.79/32,UDP,0 bps,0,2026-09-01 05:28:46,2026-09-01 06:08:51,40,EXTERNAL_DETECTOR,8
kentik_63477,Completed,24.192.134.118/32,UDP,0 bps,0,2026-09-01 05:35:02,2026-09-01 06:17:07,42,EXTERNAL_DETECTOR,8
kentik_63478,Completed,24.192.28.121/32,UDP,0 bps,0,2026-09-01 06:29:22,2026-09-01 07:09:53,40,EXTERNAL_DETECTOR,8
kentik_63479,Completed,69.14.106.162/32,UDP,0 bps,0,2026-09-01 06:44:37,2026-09-01 07:36:23,51,EXTERNAL_DETECTOR,6
kentik_63480,Completed,216.186.154.6/32,UDP,0 bps,0,2026-09-01 07:19:08,2026-09-01 07:59:39,40,EXTERNAL_DETECTOR,6
kentik_63481,Completed,50.4.185.177/32,UDP,0 bps,0,2026-09-01 08:01:55,2026-09-01 08:52:41,50,EXTERNAL_DETECTOR,6
kentik_63482,Completed,69.14.174.151/32,UDP,0 bps,0,2026-09-01 08:17:10,2026-09-01 08:59:57,42,EXTERNAL_DETECTOR,6
kentik_63483,Completed,24.42.227.96/32,UDP,0 bps,0,2026-09-01 08:42:25,2026-09-01 09:23:13,40,EXTERNAL_DETECTOR,8
kentik_63484,Completed,24.192.225.115/32,UDP,0 bps,0,2026-09-01 10:05:27,2026-09-01 10:46:43,41,EXTERNAL_DETECTOR,8
kentik_63485,Completed,67.149.43.197/32,UDP,0 bps,0,2026-09-01 11:49:58,2026-09-01 12:31:45,41,EXTERNAL_DETECTOR,5
kentik_63486,Completed,67.149.99.46/32,UDP,0 bps,0,2026-09-01 11:56:14,2026-09-01 12:37:00,40,EXTERNAL_DETECTOR,5
kentik_63487,Completed,24.192.229.89/32,UDP,0 bps,0,2026-09-01 12:25:29,2026-09-01 13:07:32,42,EXTERNAL_DETECTOR,8
kentik_63488,Completed,24.35.53.175/32,UDP,0 bps,0,2026-09-01 12:53:16,2026-09-01 13:35:02,41,EXTERNAL_DETECTOR,6
kentik_63489,Completed,96.27.33.163/32,UDP,0 bps,0,2026-09-01 13:32:47,2026-09-01 14:13:49,41,EXTERNAL_DETECTOR,5
kentik_63490,Completed,67.149.25.235/32,UDP,0 bps,0,2026-09-01 13:43:18,2026-09-01 14:37:36,54,EXTERNAL_DETECTOR,5
kentik_63491,Completed,96.27.159.104/32,UDP,0 bps,0,2026-09-01 13:50:34,2026-09-01 14:31:20,40,EXTERNAL_DETECTOR,6
kentik_63492,Completed,50.4.53.73/32,UDP,0 bps,0,2026-09-01 14:21:04,2026-09-01 15:01:23,40,EXTERNAL_DETECTOR,5
kentik_63493,Completed,143.59.233.164/32,UDP,0 bps,0,2026-09-01 14:51:52,2026-09-01 15:33:54,42,EXTERNAL_DETECTOR,6
kentik_63494,Completed,24.214.27.83/32,UDP,0 bps,0,2026-09-01 14:58:08,2026-09-01 15:39:10,41,EXTERNAL_DETECTOR,7
kentik_63495,Completed,24.192.192.149/32,UDP,0 bps,0,2026-09-01 15:08:38,2026-09-01 15:49:26,40,EXTERNAL_DETECTOR,8
kentik_63496,Completed,24.35.52.105/32,UDP,0 bps,0,2026-09-01 16:48:41,2026-09-01 17:28:42,40,EXTERNAL_DETECTOR,5
kentik_63497,Completed,24.192.196.1/32,UDP,0 bps,0,2026-09-01 16:51:56,2026-09-01 17:34:14,42,EXTERNAL_DETECTOR,7
kentik_63498,Completed,207.98.144.194/32,UDP,0 bps,0,2026-09-01 16:53:12,2026-09-01 17:34:14,41,EXTERNAL_DETECTOR,5
kentik_63499,Completed,76.73.134.44/32,UDP,0 bps,0,2026-09-01 17:03:27,2026-09-01 17:51:30,48,EXTERNAL_DETECTOR,8
