Attack Window Start,Attack Window End,Duration (mins),Destination IP,# Events,Peak pps,Peak bps,Threat Categories,Vectors (Attack Names),Protocols Seen,Dest Ports,Total Packets Dropped,Devices Involved,Policies,Max Risk
2026-09-01 01:32:46,2026-09-01 01:32:54,0.13,143.59.216.250,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.21.112.34,WOW-RESIDENTAL-1_2@00918f-00003-0,Medium
2026-09-01 01:35:19,2026-09-01 01:35:24,0.08,24.214.105.169,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-1_3@00918b-00003-0,Medium
2026-09-01 03:19:53,2026-09-01 03:20:08,0.25,216.186.154.6,1,592.0,5379072.0,BehavioralDOS,network flood IPv4 UDP,UDP,49152,8888,10.21.112.34,WOW-RESIDENTAL-2_2@00919b-00004-0,High
2026-09-01 04:17:27,2026-09-01 04:18:09,0.7,69.14.174.151,6,546.0,6627328.0,BehavioralDOS,network flood IPv4 UDP,UDP,58595,33308,10.98.221.234,WOW-RESIDENTAL-2_1@00919f-00004-0,High
2026-09-01 05:50:35,2026-09-01 05:50:40,0.08,24.42.227.96,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-1_1@0091a1-00003-0,Medium
2026-09-01 08:25:50,2026-09-01 08:46:44,20.9,24.192.229.89,65,929.0,11184128.0,BehavioralDOS,network flood IPv4 UDP,UDP,58967,437298,10.21.58.210,WOW-RESIDENTAL-1_1@0091a9-00003-0,High
2026-09-01 08:56:28,2026-09-01 09:00:43,4.25,24.35.53.175,12,545.0,6537216.0,BehavioralDOS,network flood IPv4 UDP,UDP,52257,54782,10.21.112.34,WOW-RESIDENTAL-2_3@0091ab-00004-0,High
2026-09-01 09:15:28,2026-09-01 09:29:07,13.65,24.35.53.175,34,551.0,6685696.0,"BehavioralDOS, Intrusions",Memcached-Server-Reflect; network flood IPv4 UDP,UDP,"11211,52257",145979,"10.21.112.34, 10.98.221.234",WOW-RESIDENTAL-2_3@0091ab-00004-0,High
2026-09-01 10:15:48,2026-09-01 10:15:57,0.15,67.149.25.235,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.35.193.82,WOW-RESIDENTAL-2_2@0091af-00004-0,Medium
2026-09-01 10:58:28,2026-09-01 10:59:07,0.65,24.214.27.83,4,1003.0,11893760.0,BehavioralDOS,network flood IPv4 UDP,UDP,49684,34941,10.21.58.210,WOW-RESIDENTAL-1_2@0091b7-00003-0,High
2026-09-01 13:01:36,2026-09-01 13:01:46,0.17,143.59.233.164,1,0.0,0.0,BehavioralDOS,network flood IPv4 UDP,UDP,7280,5,10.35.193.90,WOW-RESIDENTAL-1_1@0091b5-00003-0,High
2026-09-01 13:16:31,2026-09-01 13:16:38,0.12,143.59.233.164,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.35.193.90,WOW-RESIDENTAL-1_1@0091b5-00003-0,Medium
2026-09-01 13:20:16,2026-09-01 13:20:21,0.08,24.35.52.105,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-2_1@0091bb-00004-0,Medium
2026-09-01 14:16:20,2026-09-01 14:16:32,0.2,143.59.233.164,1,8.0,14336.0,BehavioralDOS,network flood IPv4 UDP,UDP,7280,124,10.35.193.90,WOW-RESIDENTAL-1_1@0091b5-00003-0,High
2026-09-01 14:22:23,2026-09-01 14:22:28,0.08,24.96.212.17,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-1_4@0091c3-00003-0,Medium
2026-09-01 14:27:07,2026-09-01 14:27:17,0.17,143.59.233.164,1,18.0,95232.0,BehavioralDOS,network flood IPv4 UDP,UDP,Multiple/Unknown,279,10.35.193.90,WOW-RESIDENTAL-1_1@0091b5-00003-0,High
2026-09-01 15:32:07,2026-09-01 15:38:56,6.82,143.59.170.154,18,1846.0,19636224.0,BehavioralDOS,network flood IPv4 UDP,UDP,41202,234001,10.21.112.34,WOW-RESIDENTAL-2_1@0091c9-00004-0,High
2026-09-01 15:44:30,2026-09-01 15:55:08,10.63,143.59.170.154,27,1312.0,15840256.0,BehavioralDOS,network flood IPv4 UDP,UDP,41202,270411,10.21.112.34,WOW-RESIDENTAL-2_1@0091c9-00004-0,High
2026-09-01 16:13:39,2026-09-01 16:14:00,0.35,143.59.233.164,2,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,2,"10.21.112.34, 10.21.58.210",WOW-RESIDENTAL-1_1@0091b5-00003-0,Medium
2026-09-01 16:28:01,2026-09-01 16:28:09,0.13,143.59.233.164,1,67.0,537600.0,BehavioralDOS,network flood IPv4 UDP,UDP,Multiple/Unknown,1005,10.98.221.234,WOW-RESIDENTAL-1_1@0091b5-00003-0,High
2026-09-01 16:34:52,2026-09-01 16:42:41,7.82,50.4.51.146,37,1281.0,15251456.0,BehavioralDOS,network flood IPv4 UDP,UDP,59602,258652,10.98.221.234,WOW-RESIDENTAL-2_2@0091cb-00004-0,High
2026-09-01 16:51:48,2026-09-01 16:51:57,0.15,143.59.233.164,1,57.0,445440.0,BehavioralDOS,network flood IPv4 UDP,UDP,Multiple/Unknown,865,10.98.221.234,WOW-RESIDENTAL-1_1@0091b5-00003-0,High
2026-09-01 18:27:54,2026-09-01 18:27:59,0.08,69.14.141.30,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-2_2@0091d4-00004-0,Medium
2026-09-01 19:48:52,2026-09-01 19:49:00,0.13,69.1.17.160,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.21.112.34,WOW-RESIDENTAL-1_3@0091dc-00003-0,Medium
2026-09-01 22:26:09,2026-09-01 22:26:24,0.25,50.4.144.224,1,724.0,4554752.0,DOSShield,DOSS-UDP-flood-80-Req,UDP,80,14667,10.98.221.234,WOW-RESIDENTAL-2_2@0091ef-00004-0,Medium
2026-09-01 22:45:54,2026-09-01 22:47:20,1.43,96.27.84.198,12,168.0,2038784.0,BehavioralDOS,network flood IPv4 UDP,UDP,59603,18589,10.21.58.210,WOW-RESIDENTAL-1_2@0091f3-00003-0,High
2026-09-01 23:35:26,2026-09-01 23:43:23,7.95,96.27.84.198,41,212.0,2487296.0,"BehavioralDOS, Intrusions",Memcached-Server-Reflect; network flood IPv4 UDP,UDP,"11211,59603",65050,"10.21.112.34, 10.21.58.210",WOW-RESIDENTAL-1_2@0091f3-00003-0,High
2026-09-02 02:13:35,2026-09-02 02:14:02,0.45,24.192.26.199,3,280.0,3316736.0,BehavioralDOS,network flood IPv4 UDP,UDP,61172,8476,10.21.58.210,WOW-RESIDENTAL-1_2@009207-00003-0,High
2026-09-02 07:43:25,2026-09-02 07:49:03,5.63,76.73.134.61,24,907.0,10470400.0,BehavioralDOS,network flood IPv4 UDP,UDP,53324,226360,10.98.221.234,WOW-RESIDENTAL-1_1@00920b-00003-0,High
2026-09-02 08:01:24,2026-09-02 08:51:45,50.35,76.73.134.61,162,951.0,11291648.0,BehavioralDOS,network flood IPv4 UDP,UDP,53324,1045445,10.98.221.234,WOW-RESIDENTAL-1_1@00920b-00003-0,High
2026-09-02 08:59:22,2026-09-02 09:33:46,34.4,76.73.134.61,78,999.0,9562112.0,BehavioralDOS,network flood IPv4 UDP,UDP,53324,500554,10.98.221.234,WOW-RESIDENTAL-1_1@00920b-00003-0,High
2026-09-02 13:05:33,2026-09-02 13:08:55,3.37,143.59.123.130,17,799.0,9676800.0,BehavioralDOS,network flood IPv4 UDP,UDP,26369,118104,10.21.112.34,WOW-RESIDENTAL-2_2@009217-00004-0,High
2026-09-02 13:28:14,2026-09-02 13:28:19,0.08,24.214.30.52,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-1_1@009219-00003-0,Medium
2026-09-02 13:53:33,2026-09-02 13:53:38,0.08,143.59.123.130,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-2_2@009217-00004-0,Medium
2026-09-02 14:09:54,2026-09-02 14:10:24,0.5,143.59.24.250,3,45.0,376832.0,BehavioralDOS,network flood IPv4 UDP,UDP,Multiple/Unknown,3134,10.35.193.82,WOW-RESIDENTAL-2_1@009221-00004-0,High
2026-09-02 16:58:11,2026-09-02 16:58:16,0.08,24.96.135.187,1,0.0,0.0,Intrusions,Memcached-Server-Reflect,UDP,11211,1,10.98.221.234,WOW-RESIDENTAL-1_2@009229-00003-0,Medium
2026-09-02 20:31:00,2026-09-02 20:32:05,1.08,23.28.120.89,9,534.0,5744640.0,BehavioralDOS,network flood IPv4 UDP,UDP,51820,41181,10.21.58.210,WOW-RESIDENTAL-1_2@00923f-00003-0,High
